host_response_rate,host_acceptance_rate,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,host_is_superhost
0.80,0.82,Pilsen,1.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.99,Lincoln Park,1.00,t,t,t
N/A,N/A,Kenwood,1.00,t,t,f
0.90,0.93,,1.00,t,f,t
N/A,N/A,Old Town,1.00,t,t,f
1.00,0.73,Pilsen,1.00,t,t,t
1.00,1.00,Humboldt Park,2.00,t,t,t
N/A,N/A,Lincoln Park,0.00,t,t,t
1.00,0.75,Woodlawn,1.00,t,t,t
0.76,0.56,,1.00,t,t,f
N/A,N/A,River North,4.00,t,t,t
N/A,N/A,Old Town,1.00,t,f,f
N/A,N/A,Lakeview,1.00,t,f,f
1.00,0.99,Lincoln Square,1.00,t,t,t
1.00,1.00,Logan Square,1.00,t,t,t
1.00,0.90,West Town/Noble Square,1.00,t,f,t
N/A,N/A,Hyde Park,1.00,t,t,f
N/A,N/A,Ukrainian Village,1.00,t,t,f
1.00,0.95,Irving Park,1.00,t,f,t
1.00,1.00,Lakeview,1.00,t,t,t
1.00,0.60,,1.00,t,t,f
1.00,0.96,,1.00,t,t,f
N/A,1.00,,5.00,t,t,f
1.00,0.96,North Center,1.00,t,t,t
N/A,N/A,,2.00,t,f,f
N/A,N/A,,1.00,t,t,f
1.00,0.95,Bucktown,2.00,t,t,t
1.00,1.00,Irving Park,3.00,t,t,f
N/A,N/A,Gold Coast,1.00,t,t,t
1.00,0.91,Logan Square,2.00,t,t,t
1.00,0.99,Douglas,4.00,t,t,f
N/A,N/A,Near North Side,1.00,t,t,f
0.00,0.01,Loop,4.00,t,f,f
0.93,0.88,Logan Square,3.00,t,t,t
1.00,0.93,Humboldt Park,2.00,t,f,t
1.00,0.70,Edgewater,6.00,t,t,f
0.00,0.00,West Town/Noble Square,0.00,t,f,f
1.00,0.50,North Lawndale,0.00,t,f,f
1.00,1.00,Humboldt Park,2.00,t,t,t
1.00,0.97,Garfield Ridge,2.00,t,f,t
0.94,0.98,Lincoln Park,3.00,t,t,f
1.00,0.88,Bronzeville,0.00,t,f,f
N/A,N/A,,1.00,t,t,f
1.00,0.63,West Town/Noble Square,4.00,t,t,f
1.00,0.59,Uptown,0.00,t,t,f
0.00,0.99,Streeterville,7.00,t,t,f
0.00,0.99,Streeterville,7.00,t,t,f
N/A,N/A,,1.00,t,t,f
N/A,N/A,St. Luke's,7.00,t,t,f
1.00,1.00,Andersonville,1.00,t,t,t
1.00,0.92,Lake View East,2.00,t,t,t
1.00,0.81,Eisenhower West,290.00,t,t,f
0.91,0.77,Near North,0.00,t,f,t
1.00,0.93,Lakeview,7.00,t,t,t
0.00,1.00,Edgewater Glen,1.00,t,f,f
1.00,0.90,Los Feliz,6.00,t,t,t
1.00,0.70,Edgewater,6.00,t,t,f
0.87,0.96,Bronzeville,0.00,t,f,f
1.00,1.00,Humboldt Park,1.00,t,f,f
1.00,1.00,Logan Square,0.00,t,f,t
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.79,West Loop,1.00,t,f,f
1.00,0.98,Rogers Park,0.00,t,f,t
0.95,0.91,Bucktown,70.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.99,Douglas,4.00,t,t,f
1.00,0.81,Eisenhower West,290.00,t,t,f
1.00,1.00,West Town,1.00,t,f,f
1.00,0.86,North Center,0.00,t,f,f
1.00,1.00,Douglas,0.00,t,f,f
N/A,N/A,Belmont Cragin,1.00,t,t,f
1.00,0.14,Bronzeville,1.00,t,t,t
1.00,0.87,,2.00,t,t,t
1.00,0.99,Ukrainian Village,2.00,t,t,t
1.00,0.71,River North,1.00,t,t,f
1.00,1.00,West Ridge,1.00,t,f,f
1.00,0.99,Avondale,4.00,t,t,t
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.88,Humboldt Park,2.00,t,t,t
1.00,1.00,Pilsen,3.00,t,t,f
1.00,0.64,Albany Park,1.00,t,f,t
1.00,0.96,Bridgeport,2.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,,1.00,t,f,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.98,0.80,Lincoln Square,14.00,t,t,f
0.80,0.86,River North,1.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,1.00,West Englewood,1.00,t,t,f
1.00,1.00,Wicker Park,4.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.81,Eisenhower West,290.00,t,t,f
1.00,0.98,Irving Park,2.00,t,f,t
N/A,N/A,Logan Square,1.00,t,t,f
1.00,1.00,Hyde Park,5.00,t,t,t
1.00,0.92,Logan Square,1.00,t,t,t
1.00,0.78,Magnolia Glen,1.00,t,f,t
1.00,1.00,Pilsen,1.00,t,t,f
0.91,0.99,Mid-Wilshire,0.00,t,t,f
1.00,0.87,Wicker Park,1.00,t,f,f
1.00,0.98,Bucktown,1.00,t,f,t
1.00,1.00,Uptown,1.00,t,t,t
0.96,0.95,Loop,10.00,t,t,f
1.00,0.64,Bronzeville,5.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.00,0.99,Streeterville,7.00,t,t,f
0.95,0.96,Lincoln Square,9.00,t,t,f
0.98,0.99,Uptown,7.00,t,t,f
1.00,1.00,Uptown,6.00,t,t,f
1.00,0.95,Lincoln Park,1.00,t,t,f
1.00,0.91,Rogers Park,1.00,t,f,f
0.87,1.00,Marshall Square,2.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
0.80,1.00,Somerville,1.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,0.98,Wrigleyville,7.00,t,t,t
N/A,0.00,Wicker Park,1.00,t,t,f
1.00,1.00,Woodlawn,3.00,t,t,t
0.70,0.75,Wicker Park,3.00,t,t,t
1.00,0.90,Logan Square,1.00,t,t,t
1.00,0.97,Pilsen,0.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
N/A,0.00,Ukrainian Village,0.00,t,t,f
N/A,0.64,South Shore,0.00,t,t,f
1.00,0.97,,1.00,t,t,f
1.00,0.99,Lake View East,6.00,t,t,f
1.00,0.86,Washington Park,1.00,t,t,t
1.00,0.86,Washington Park,1.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
N/A,N/A,Tri-Taylor,0.00,t,f,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.95,Washington Park,4.00,t,t,t
1.00,0.84,Central Minneapolis,93.00,t,t,f
0.89,0.76,Lakeview,4.00,t,t,t
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,1.00,Logan Square,1.00,t,t,t
1.00,0.97,Logan Square,2.00,t,t,t
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,0.96,North Center,2.00,t,f,t
1.00,1.00,Andersonville,1.00,t,t,t
1.00,0.80,West Town/Noble Square,6.00,t,t,t
1.00,1.00,Uptown,5.00,t,t,f
1.00,0.92,Bridgeport,9.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.95,Avondale,0.00,t,t,t
N/A,N/A,Woodlawn,1.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.74,0.72,Logan Square,0.00,t,t,f
1.00,0.83,Avondale,5.00,t,f,f
1.00,0.91,River West,24.00,t,t,t
1.00,0.96,Magnolia Glen,4.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
1.00,0.53,Loop,97.00,t,t,t
0.83,0.39,River North,10.00,t,f,t
0.83,0.38,River North,35.00,t,f,f
0.83,0.39,River North,10.00,t,f,t
0.83,0.38,River North,35.00,t,f,f
N/A,N/A,Wicker Park,1.00,t,f,f
N/A,N/A,Bronzeville,1.00,t,t,f
1.00,0.88,Ukrainian Village,1.00,t,t,f
1.00,0.98,Andersonville,2.00,t,t,f
N/A,N/A,North Center,1.00,t,f,f
0.90,0.94,Pilsen,1.00,t,t,t
1.00,0.86,Lakeview,1.00,t,t,t
N/A,N/A,Boystown,1.00,t,t,f
N/A,N/A,Ukrainian Village,1.00,t,t,f
1.00,1.00,North Center,1.00,t,t,t
0.95,1.00,Near North Side,6.00,t,t,f
1.00,0.80,River West,0.00,t,t,f
N/A,N/A,Lakeview,1.00,t,f,f
1.00,0.94,Pullman,3.00,t,t,f
N/A,N/A,River North,1.00,t,t,f
0.33,0.05,River North,1.00,t,f,f
N/A,N/A,Humboldt Park,1.00,t,t,t
N/A,N/A,Lakeview,1.00,t,t,f
1.00,0.96,,1.00,t,t,t
N/A,N/A,Wicker Park,1.00,t,t,t
N/A,0.00,,1.00,t,t,f
0.60,0.80,Austin,4.00,t,t,f
1.00,0.94,Logan Square,0.00,t,t,f
1.00,0.98,Belmont Cragin,1.00,t,t,t
N/A,1.00,Hyde Park,1.00,t,t,t
N/A,N/A,,2.00,t,f,t
N/A,N/A,Streeterville,1.00,t,t,t
0.00,N/A,Garfield Park,1.00,t,f,f
1.00,0.67,,2.00,t,f,f
N/A,N/A,Humboldt Park,1.00,t,f,f
N/A,N/A,West Town/Noble Square,3.00,t,t,t
1.00,1.00,,2.00,t,t,t
1.00,1.00,Bronzeville,3.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
0.90,0.00,Logan Square,3.00,t,t,f
1.00,0.46,North Park,3.00,t,t,f
1.00,0.98,,2.00,t,t,t
N/A,N/A,Near North Side,1.00,t,t,f
1.00,1.00,Little Village,1.00,t,f,f
N/A,N/A,,6.00,t,t,f
1.00,1.00,North Park,2.00,t,t,f
0.90,0.00,Logan Square,3.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
0.83,0.38,River North,35.00,t,f,f
1.00,0.83,Woodlawn,2.00,t,t,f
1.00,1.00,Andersonville,0.00,t,t,t
1.00,1.00,Chinatown,0.00,t,t,f
1.00,0.94,Humboldt Park,5.00,t,t,t
N/A,N/A,Loop,1.00,t,t,f
0.00,1.00,Jefferson Park,0.00,t,f,f
N/A,0.95,Woodlawn,0.00,t,t,f
0.90,0.75,Edgewater,1.00,t,t,f
0.83,0.38,River North,35.00,t,f,f
0.83,0.38,River North,35.00,t,f,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,0.75,Avondale,1.00,t,t,t
0.91,0.77,Near North,0.00,t,f,t
0.14,0.87,Uptown,6.00,t,t,f
1.00,0.99,Groveland Park,9.00,t,t,t
1.00,1.00,West Town,0.00,t,t,t
0.83,0.38,River North,35.00,t,f,f
1.00,0.94,Tri-Taylor,1.00,t,f,t
1.00,0.53,Loop,97.00,t,t,t
1.00,0.21,River North,1.00,t,t,f
1.00,1.00,Bronzeville,0.00,t,f,f
1.00,N/A,South Chicago,0.00,t,f,f
0.83,0.38,River North,35.00,t,f,f
0.95,0.96,Lincoln Square,9.00,t,t,f
1.00,0.98,Logan Square,0.00,t,t,t
1.00,0.84,Central Minneapolis,93.00,t,t,f
0.92,0.98,Loop,8.00,t,t,f
1.00,1.00,Pullman,1.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
0.50,0.44,River North,3.00,t,t,f
N/A,0.00,South Loop/Printers Row,1.00,t,t,f
1.00,0.94,North Center,4.00,t,t,t
N/A,N/A,Wicker Park,1.00,t,t,t
1.00,1.00,Logan Square,1.00,t,t,f
N/A,N/A,River West,1.00,t,t,f
0.75,0.96,Wicker Park,1.00,t,t,f
N/A,N/A,Ukrainian Village,1.00,t,t,f
1.00,0.99,Edgewater,2.00,t,t,t
1.00,1.00,Avondale,5.00,t,t,t
0.95,0.91,Bucktown,70.00,t,t,f
N/A,N/A,West Town/Noble Square,3.00,t,t,t
1.00,1.00,Auburn Gresham,3.00,t,t,f
N/A,N/A,Irving Park,1.00,t,f,f
1.00,1.00,Auburn Gresham,3.00,t,t,f
1.00,1.00,,1.00,t,f,t
1.00,1.00,Humboldt Park,1.00,t,t,t
1.00,1.00,,2.00,t,t,t
1.00,0.99,Pilsen,1.00,t,t,f
0.80,0.63,Hyde Park,2.00,t,f,f
0.96,0.99,Lake View East,21.00,t,t,f
0.83,0.88,Lakeview,0.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.73,Lincoln Park,3.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.97,Lakeview,43.00,t,t,f
1.00,1.00,Little Italy,25.00,t,t,f
1.00,0.97,South Chicago,0.00,t,f,f
N/A,N/A,,1.00,t,f,f
0.99,0.80,Lakeview,89.00,t,t,f
0.99,0.81,Lake View East,40.00,t,t,f
0.70,1.00,Chicago Loop,2.00,t,t,f
0.80,0.63,Hyde Park,2.00,t,f,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,1.00,Albany Park,4.00,t,t,f
0.96,0.94,West Town/Noble Square,6.00,t,t,t
1.00,0.99,Old Town,1.00,t,t,t
1.00,0.83,Humboldt Park,1.00,t,t,f
1.00,0.93,,1.00,t,f,f
N/A,N/A,,1.00,t,f,t
N/A,N/A,,1.00,t,t,f
1.00,1.00,Bridgeport,2.00,t,t,t
1.00,0.98,Logan Square,3.00,t,t,f
0.91,0.98,Lincoln Park,17.00,t,t,f
1.00,1.00,Albany Park,4.00,t,t,f
1.00,0.94,Pilsen,3.00,t,t,t
1.00,0.76,Humboldt Park,1.00,t,f,f
1.00,1.00,North Center,0.00,t,f,t
1.00,0.98,Logan Square,0.00,t,t,t
1.00,0.71,South Shore,8.00,t,t,f
0.97,0.58,Streeterville,7.00,t,t,f
0.99,0.81,Lake View East,40.00,t,t,f
0.50,0.88,South Commons,0.00,t,t,f
1.00,0.98,North Lawndale,1.00,t,t,t
1.00,0.88,Humboldt Park,2.00,t,t,t
1.00,1.00,Belmont Gardens,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.91,Chicago Loop,1.00,t,t,f
N/A,N/A,Lincoln Park,1.00,t,t,f
1.00,1.00,Andersonville,1.00,t,t,t
0.75,1.00,Uptown,1.00,t,t,f
N/A,N/A,Woodlawn,1.00,t,t,t
1.00,0.98,Logan Square,2.00,t,f,t
1.00,0.96,Bridgeport,2.00,t,t,t
0.95,0.91,Bucktown,70.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Lake View East,6.00,t,t,f
N/A,N/A,Uptown,17.00,t,t,f
1.00,0.53,Loop,97.00,t,t,t
0.83,0.38,River North,35.00,t,f,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
0.25,0.36,Logan Square,0.00,t,t,f
1.00,1.00,Jefferson Park,1.00,t,t,t
N/A,0.00,South Loop/Printers Row,1.00,t,f,f
1.00,0.90,South Loop/Printers Row,1.00,t,t,f
1.00,0.95,North Center,0.00,t,t,t
0.91,0.98,Lincoln Park,17.00,t,t,f
1.00,1.00,Pilsen,3.00,t,t,f
N/A,N/A,,2.00,t,t,f
1.00,0.94,Pilsen,3.00,t,t,t
1.00,0.98,Edgewater,52.00,t,t,t
1.00,1.00,Uptown,1.00,t,t,t
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.86,River North,0.00,t,t,f
N/A,N/A,Logan Square,1.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
1.00,1.00,West Loop,2.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.84,Central Minneapolis,93.00,t,t,f
1.00,0.94,Old Town,1.00,t,t,t
0.90,0.77,Hyde Park,1.00,t,t,f
1.00,0.85,Wicker Park,3.00,t,t,t
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,0.00,Wicker Park,2.00,t,t,t
1.00,0.85,Wicker Park,3.00,t,t,t
N/A,N/A,Bridgeport,1.00,t,t,t
1.00,0.87,Logan Square,2.00,t,t,t
0.88,0.30,Lincoln Square,2.00,t,t,t
1.00,1.00,Rogers Park,1.00,t,t,t
1.00,1.00,Lakeview,2.00,t,t,t
1.00,1.00,,3.00,t,t,t
1.00,0.91,Logan Square,3.00,t,f,t
1.00,1.00,River North,5.00,t,t,f
N/A,N/A,Logan Square,1.00,t,t,f
N/A,N/A,,1.00,t,t,f
1.00,0.96,Portage Park,1.00,t,t,t
1.00,0.99,Ukrainian Village,2.00,t,f,t
1.00,0.92,West Ridge,16.00,t,t,f
N/A,N/A,Irving Park,1.00,t,t,f
1.00,0.97,Logan Square,1.00,t,t,t
1.00,N/A,Galewood,5.00,t,t,f
1.00,N/A,Galewood,5.00,t,t,f
1.00,N/A,Galewood,5.00,t,t,f
1.00,0.82,Avondale,1.00,t,t,t
1.00,0.93,Albany Park,1.00,t,t,t
1.00,1.00,Uptown,5.00,t,t,f
N/A,N/A,Wicker Park,1.00,t,t,f
1.00,1.00,Irving Park,2.00,t,t,t
1.00,0.99,Ukrainian Village,2.00,t,t,t
1.00,1.00,Loop,2.00,t,t,t
0.00,0.01,Loop,4.00,t,f,f
N/A,1.00,,2.00,t,t,f
N/A,1.00,Logan Square,0.00,t,t,f
N/A,N/A,,0.00,t,f,f
N/A,N/A,Bucktown,1.00,t,t,f
0.99,0.83,Avondale,12.00,t,t,t
N/A,0.95,Woodlawn,0.00,t,t,f
N/A,N/A,Lake View,1.00,t,f,f
1.00,0.62,Lincoln Square,1.00,t,t,f
1.00,N/A,Galewood,5.00,t,t,f
1.00,0.97,Avondale,3.00,t,t,t
0.00,0.07,Portage Park,1.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.80,0.50,Lincoln Square,0.00,t,f,f
0.95,0.91,Bucktown,70.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.91,Chicago Loop,0.00,t,t,f
1.00,1.00,West Ridge,1.00,t,t,f
0.99,0.81,Lake View East,40.00,t,t,f
1.00,1.00,Humboldt Park,0.00,t,f,f
1.00,0.67,Washington Park,4.00,t,t,t
1.00,1.00,Lake View East,0.00,t,f,f
1.00,0.53,Loop,97.00,t,t,t
0.97,1.00,Chicago Loop,1.00,t,f,f
0.91,0.77,Near North,0.00,t,f,t
1.00,0.98,Dunning,4.00,t,t,t
0.96,0.94,West Town/Noble Square,6.00,t,t,t
1.00,0.85,Bronzeville,1.00,t,t,t
1.00,1.00,,1.00,t,t,t
1.00,0.93,Logan Square,1.00,t,t,t
1.00,0.96,West Town/Noble Square,3.00,t,t,f
N/A,N/A,Lincoln Square,1.00,t,t,f
1.00,1.00,West Ridge,2.00,t,t,f
N/A,N/A,Lincoln Park,2.00,t,t,t
N/A,N/A,,1.00,t,f,t
1.00,1.00,Bucktown,1.00,t,t,t
1.00,0.95,Bronzeville,2.00,t,t,t
1.00,0.92,Roscoe Village,0.00,t,t,f
N/A,N/A,,7.00,t,t,f
1.00,0.91,Garfield Park,2.00,t,t,f
N/A,1.00,South Loop/Printers Row,2.00,t,f,f
1.00,1.00,Edgewater,3.00,t,t,t
1.00,0.96,Logan Square,1.00,t,t,t
1.00,0.94,South Shore,3.00,t,t,f
1.00,0.97,Lakeview,43.00,t,t,f
1.00,0.54,Mount Greenwood,0.00,t,t,t
1.00,0.99,Little Village,0.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.91,River West,24.00,t,t,t
1.00,0.98,Humboldt Park,2.00,t,t,t
1.00,0.96,Old Town Triangle,0.00,t,t,f
1.00,1.00,Logan Square,0.00,t,f,t
1.00,0.69,Rogers Park,2.00,t,f,f
1.00,0.96,Near South Side,5.00,t,f,f
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.96,Rogers Park,1.00,t,t,t
1.00,1.00,Lakeview,1.00,t,t,f
1.00,1.00,Woodlawn,3.00,t,t,t
1.00,0.97,Andersonville,1.00,t,t,t
N/A,N/A,,1.00,t,f,f
0.98,0.86,Logan Square,9.00,t,t,t
1.00,0.96,Pilsen,2.00,t,t,t
1.00,0.95,Bronzeville,2.00,t,t,t
1.00,1.00,Humboldt Park,1.00,t,t,f
1.00,0.93,Bronzeville,1.00,t,f,t
1.00,0.98,Woodlawn,1.00,t,f,f
0.96,0.95,Loop,10.00,t,t,f
0.96,0.95,Loop,10.00,t,t,f
0.96,0.95,Loop,10.00,t,t,f
1.00,1.00,Fulton Market,1.00,t,t,t
1.00,0.90,Wicker Park,1.00,t,t,f
1.00,0.99,Albany Park,4.00,t,t,t
1.00,0.99,Avondale,0.00,t,t,f
1.00,0.99,Avondale,4.00,t,t,t
1.00,1.00,River West,1.00,t,t,t
1.00,0.97,Logan Square,2.00,t,f,t
1.00,0.99,Lakeview,3.00,t,t,t
1.00,0.89,Pilsen,0.00,t,f,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.90,Little Village,1.00,t,t,t
0.60,1.00,Lakeview,1.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.86,1.00,West Loop,1.00,t,t,f
1.00,0.99,Lakeview,3.00,t,t,t
0.93,0.77,Lincoln Square,2.00,t,t,f
N/A,1.00,Little Italy/UIC,1.00,t,t,t
1.00,0.91,River West,24.00,t,t,t
0.86,0.97,Old Naples,7.00,t,f,t
0.95,0.91,Bucktown,70.00,t,t,f
1.00,1.00,Lakeview,1.00,t,t,t
1.00,0.90,Little Italy/UIC,1.00,t,t,t
1.00,1.00,South Loop/Printers Row,3.00,t,t,f
1.00,1.00,Uptown,5.00,t,t,f
1.00,1.00,Logan Square,1.00,t,t,t
N/A,N/A,Roscoe Village,1.00,t,f,t
1.00,1.00,River North,0.00,t,t,t
N/A,N/A,Garfield Park,0.00,t,t,f
1.00,0.93,Washington Park,4.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
0.96,0.99,Lake View East,21.00,t,t,f
1.00,0.96,Magnolia Glen,4.00,t,t,f
1.00,0.96,Magnolia Glen,4.00,t,t,f
N/A,N/A,Andersonville,2.00,t,t,t
1.00,0.00,Logan Square,1.00,t,t,t
1.00,0.07,Lincoln Park,1.00,t,f,t
1.00,0.00,,1.00,t,t,f
1.00,0.87,Logan Square,2.00,t,t,t
1.00,0.99,Little Italy/UIC,1.00,t,t,t
0.76,0.27,Streeterville,15.00,t,f,t
1.00,1.00,Irving Park,1.00,t,t,f
0.83,0.39,River North,10.00,t,f,t
1.00,0.00,,1.00,t,t,f
1.00,1.00,,2.00,t,f,t
1.00,1.00,Lincoln Square,1.00,t,t,f
0.50,N/A,Humboldt Park,1.00,t,t,f
1.00,1.00,Wicker Park,1.00,t,t,f
1.00,1.00,Gold Coast,19.00,t,t,t
1.00,1.00,Gold Coast,19.00,t,t,t
1.00,1.00,Uptown,5.00,t,t,f
1.00,0.97,River North,4.00,t,t,t
N/A,N/A,West Town/Noble Square,1.00,t,t,f
1.00,1.00,Uptown,1.00,t,f,t
N/A,N/A,Lake View East,1.00,t,t,t
0.82,0.96,Bridgeport,4.00,t,t,f
N/A,0.70,Old Town,1.00,t,t,f
0.85,0.47,River North,20.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
0.00,0.00,Lakeview,4.00,t,t,f
1.00,0.90,Andersonville,0.00,t,t,t
0.85,0.47,River North,20.00,t,f,f
1.00,0.00,Near West Side,0.00,t,t,f
0.85,0.47,River North,20.00,t,f,f
0.00,0.60,,1.00,t,t,f
N/A,1.00,Bucktown,0.00,t,f,f
0.83,1.00,Rogers Park,0.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
0.98,0.81,Near West Side,22.00,t,t,t
0.85,0.47,River North,20.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
0.70,1.00,Woodlawn,0.00,t,f,f
0.85,0.47,River North,20.00,t,f,f
1.00,0.97,Ravenswood,1.00,t,f,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.50,Uptown,1.00,t,t,f
1.00,1.00,Lake View East,0.00,t,f,f
1.00,0.53,Loop,97.00,t,t,t
0.73,0.59,Chicago Loop,1.00,t,t,f
1.00,0.94,Gold Coast,0.00,t,t,f
1.00,1.00,Lake View,1.00,t,t,f
1.00,0.99,Pilsen,0.00,t,t,f
1.00,1.00,River North,1.00,t,t,t
1.00,0.97,Roscoe Village,1.00,t,t,t
0.80,0.82,,1.00,t,t,t
N/A,N/A,Lakeview,1.00,t,f,f
1.00,0.90,,4.00,t,t,f
0.90,0.64,Lincoln Square,2.00,t,t,t
1.00,0.90,Lakeview,1.00,t,f,t
0.96,0.83,Garfield Park,3.00,t,f,f
1.00,1.00,Avondale,5.00,t,t,t
1.00,0.91,River West,24.00,t,t,t
0.70,0.17,Bronzeville,2.00,t,t,f
N/A,N/A,,1.00,t,t,f
N/A,0.00,,6.00,t,t,f
1.00,0.90,,4.00,t,t,f
1.00,0.97,Lakeview,43.00,t,t,f
0.90,0.36,Roscoe Village,3.00,t,t,t
1.00,1.00,Edgewater,0.00,t,t,f
0.80,0.63,Hyde Park,2.00,t,f,f
1.00,1.00,Bridgeport,3.00,t,f,t
1.00,0.97,Uptown,1.00,t,t,t
1.00,0.40,Uptown,0.00,t,t,f
N/A,N/A,Near West Side,1.00,t,t,f
1.00,1.00,West Town,2.00,t,t,f
1.00,0.94,Portage Park,1.00,t,t,f
1.00,0.86,Garfield Park,4.00,t,t,f
N/A,N/A,Logan Square,1.00,t,t,f
1.00,0.98,,1.00,t,t,f
1.00,0.98,Edgewater,52.00,t,t,t
1.00,1.00,South Loop/Printers Row,3.00,t,t,f
N/A,N/A,Lincoln Park,0.00,t,f,f
1.00,0.99,Lakeview,3.00,t,t,t
1.00,0.99,Cambridge,1683.00,t,t,f
1.00,0.99,Cambridge,1683.00,t,t,f
0.98,0.99,Uptown,7.00,t,t,f
1.00,1.00,Andersonville,1.00,t,t,f
1.00,1.00,Lake View East,0.00,t,t,f
1.00,0.81,Pilsen,1.00,f,f,t
0.67,0.00,Logan Square,1.00,t,t,f
1.00,0.93,Logan Square,1.00,t,t,t
1.00,0.85,Ukrainian Village,1.00,t,t,t
N/A,N/A,River North,4.00,t,t,t
N/A,N/A,Rogers Park,1.00,t,t,t
1.00,0.63,West Town/Noble Square,4.00,t,t,f
1.00,0.96,Logan Square,1.00,t,t,t
N/A,N/A,,1.00,t,t,f
1.00,0.93,Logan Square,1.00,t,f,t
1.00,1.00,Logan Square,1.00,t,t,t
0.88,0.63,Bridgeport,2.00,t,t,f
0.95,0.91,Bucktown,70.00,t,t,f
1.00,0.95,Lakeview,0.00,t,t,t
1.00,1.00,Magnolia Glen,3.00,t,t,t
1.00,0.69,Woodlawn,1.00,t,t,f
N/A,N/A,,2.00,t,t,f
N/A,N/A,Gold Coast,0.00,t,t,f
1.00,1.00,West Town,0.00,t,t,f
N/A,N/A,Logan Square,0.00,t,t,f
1.00,0.99,,2.00,t,t,t
N/A,N/A,Albany Park,1.00,t,t,f
1.00,1.00,Wicker Park,2.00,t,t,f
1.00,0.79,Oakland,1.00,t,f,t
1.00,0.91,River West,24.00,t,t,t
1.00,0.00,Pilsen,1.00,t,f,f
N/A,N/A,Lincoln Square,1.00,t,t,f
1.00,0.96,Rogers Park,1.00,t,t,t
0.95,0.91,Bucktown,70.00,t,t,f
0.96,1.00,Lakeview,1.00,t,t,f
